title,rating,genre,director,star,score
Still of the Night,PG,Crime,Robert Benton,Roy Scheider,6.1
Parasite,R,Horror,Charles Band,Robert Glaudini,3.9
Parasite,R,Comedy,Bong Joon Ho,Kang-ho Song,8.6
Making Love,R,Drama,Arthur Hiller,Michael Ontkean,6.9
Honkytonk Man,PG,Comedy,Clint Eastwood,Clint Eastwood,6.6
The Beast Within,R,Horror,Philippe Mora,Ronny Cox,5.6
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",PG,Comedy,Robert Altman,Cher,7.2
The Final Option,R,Action,Ian Sharp,Lewis Collins,6.4
Trail of the Pink Panther,PG,Comedy,Blake Edwards,Peter Sellers,5.0
The Sender,R,Drama,Roger Christian,Kathryn Harrold,6.0
The Border,R,Crime,Tony Richardson,Jack Nicholson,6.4
Vice Squad,R,Action,Gary Sherman,Season Hubley,6.5
Best Friends,PG,Comedy,Norman Jewison,Burt Reynolds,5.5
Lookin' to Get Out,R,Comedy,Hal Ashby,Jon Voight,5.1
Barbarosa,PG,Western,Fred Schepisi,Willie Nelson,6.4
Visiting Hours,R,Horror,Jean-Claude Lord,Michael Ironside,5.7
A Little Sex,R,Comedy,Bruce Paltrow,Tim Matheson,4.9
Class Reunion,R,Comedy,Michael Miller,Gerrit Graham,4.7
Hanky Panky,PG,Action,Sidney Poitier,Gene Wilder,5.6
Author! Author!,PG,Comedy,Arthur Hiller,Al Pacino,6.2
Split Image,R,Drama,Ted Kotcheff,Michael O'Keefe,6.5
The Challenge,R,Action,John Frankenheimer,Scott Glenn,6.3
The Soldier,R,Action,James Glickenhaus,Ken Wahl,5.3
Six Weeks,PG,Drama,Tony Bill,Dudley Moore,5.7
The State of Things,,Drama,Wim Wenders,Allen Garfield,7.0
Forced Vengeance,R,Action,James Fargo,Chuck Norris,5.6
The Missionary,R,Comedy,Richard Loncraine,Michael Palin,6.2
The Escape Artist,PG,Comedy,Caleb Deschanel,Raul Julia,6.2
Night Crossing,PG,Drama,Delbert Mann,John Hurt,6.5
Endangered Species,R,Drama,Alan Rudolph,Robert Urich,5.9
Things Are Tough All Over,R,Action,Thomas K. Avildsen,Toni Attell,6.0
Homework,R,Comedy,James Beshears,Joan Collins,3.5
The Return of Martin Guerre,Not Rated,Biography,Daniel Vigne,Gérard Depardieu,7.4
They Call Me Bruce,PG,Action,Elliott Hong,Johnny Yune,5.7
Hammett,PG,Crime,Wim Wenders,Frederic Forrest,6.5
Partners,R,Comedy,James Burrows,Ryan O'Neal,5.3
Richard Pryor: Live on the Sunset Strip,R,Comedy,Joe Layton,Richard Pryor,7.7
Monsignor,R,Crime,Frank Perry,Christopher Reeve,5.1
"Yes, Giorgio",PG,Comedy,Franklin J. Schaffner,Luciano Pavarotti,3.9
Fighting Back,R,Action,Lewis Teague,Tom Skerritt,6.1
The Wizard of Oz,Not Rated,Animation,Fumihiko Takayama,Aileen Quinn,6.8
Heidi's Song,G,Animation,Robert Taylor,Lorne Greene,6.3
Love Child,R,Crime,Larry Peerce,Amy Madigan,5.7
Boardinghouse,R,Comedy,John Wintergate,John Wintergate,3.8
The Personals,PG,Comedy,Peter Markle,Bill Schoppert,6.7
Lonely Hearts,R,Comedy,Paul Cox,Wendy Hughes,6.8
