title,rating,genre,director,star,score
God's Not Dead,PG,Drama,Harold Cronk,Shane Harper,4.7
Winter's Tale,PG-13,Drama,Akiva Goldsman,Colin Farrell,6.2
When Marnie Was There,PG,Animation,James Simone,Sara Takatsuki,7.7
Mr. Peabody & Sherman,PG,Animation,Rob Minkoff,Ty Burrell,6.8
Tammy,R,Comedy,Ben Falcone,Melissa McCarthy,4.9
Big Game,PG-13,Action,Jalmari Helander,Samuel L. Jackson,5.4
A Long Way Down,R,Comedy,Pascal Chaumeil,Pierce Brosnan,6.4
The Rover,R,Action,David Michôd,Guy Pearce,6.4
Force Majeure,R,Comedy,Ruben Östlund,Johannes Kuhnke,7.3
"Two Days, One Night",PG-13,Drama,Jean-Pierre Dardenne,Marion Cotillard,7.3
Lost River,R,Drama,Ryan Gosling,Christina Hendricks,5.7
Magic in the Moonlight,PG-13,Comedy,Woody Allen,Colin Firth,6.5
Song of the Sea,PG,Animation,Tomm Moore,David Rawle,8.1
Hector and the Search for Happiness,R,Adventure,Peter Chelsom,Simon Pegg,7.0
The Quiet Ones,PG-13,Horror,John Pogue,Jared Harris,5.1
Zombeavers,R,Action,Jordan Rubin,Rachel Melvin,4.8
Barefoot,PG-13,Comedy,Andrew Fleming,Evan Rachel Wood,6.6
Serena,R,Drama,Susanne Bier,Bradley Cooper,5.4
The Duke of Burgundy,Not Rated,Drama,Peter Strickland,Sidse Babett Knudsen,6.5
Effie Gray,PG-13,Biography,Richard Laxton,Dakota Fanning,6.0
Wish I Was Here,R,Comedy,Zach Braff,Zach Braff,6.7
Frank,R,Comedy,Lenny Abrahamson,Michael Fassbender,7.0
Get on Up,PG-13,Biography,Tate Taylor,Chadwick Boseman,6.9
Suffragette,PG-13,Drama,Sarah Gavron,Carey Mulligan,6.9
Ouija,PG-13,Horror,Stiles White,Olivia Cooke,4.5
Heaven Is for Real,PG,Biography,Randall Wallace,Greg Kinnear,5.8
While We're Young,R,Comedy,Noah Baumbach,Ben Stiller,6.3
Winter Sleep,Not Rated,Drama,Nuri Bilge Ceylan,Haluk Bilginer,8.1
White Bird in a Blizzard,R,Drama,Gregg Araki,Shailene Woodley,6.4
Dear White People,R,Comedy,Justin Simien,Tyler James Williams,6.1
Calvary,R,Drama,John Michael McDonagh,Brendan Gleeson,7.4
Think Like a Man Too,PG-13,Comedy,Tim Story,Kevin Hart,5.8
Heaven Knows What,R,Crime,Benny Safdie,Arielle Holmes,6.8
The Keeping Room,R,Drama,Daniel Barber,Brit Marling,6.0
Planes: Fire & Rescue,PG,Animation,Roberts Gannaway,Dane Cook,6.0
Top Five,R,Comedy,Chris Rock,Chris Rock,6.4
99 Homes,R,Drama,Ramin Bahrani,Andrew Garfield,7.1
Black or White,PG-13,Drama,Mike Binder,Kevin Costner,6.6
Clouds of Sils Maria,R,Drama,Olivier Assayas,Juliette Binoche,6.7
Big Stone Gap,PG-13,Comedy,Adriana Trigiani,Ashley Judd,5.7
Laggies,R,Comedy,Lynn Shelton,Keira Knightley,6.4
Mad Max: Fury Road,R,Action,George Miller,Tom Hardy,8.1
Avengers: Age of Ultron,PG-13,Action,Joss Whedon,Robert Downey Jr.,7.3
Crimson Peak,R,Drama,Guillermo del Toro,Mia Wasikowska,6.5
Furious 7,PG-13,Action,James Wan,Vin Diesel,7.1
The Hateful Eight,R,Crime,Quentin Tarantino,Samuel L. Jackson,7.8
Ant-Man,PG-13,Action,Peyton Reed,Paul Rudd,7.3
Fifty Shades of Grey,R,Drama,Sam Taylor-Johnson,Dakota Johnson,4.1
Sicario,R,Action,Denis Villeneuve,Emily Blunt,7.6
The Witch,R,Drama,Robert Eggers,Anya Taylor-Joy,6.9
The Big Short,R,Biography,Adam McKay,Christian Bale,7.8
Jurassic World,PG-13,Action,Colin Trevorrow,Chris Pratt,7.0
The Revenant,R,Action,Alejandro G. Iñárritu,Leonardo DiCaprio,8.0
The Martian,PG-13,Adventure,Ridley Scott,Matt Damon,8.0
Room,R,Drama,Lenny Abrahamson,Brie Larson,8.1
Inside Out,PG,Animation,Pete Docter,Amy Poehler,8.1
Spotlight,R,Biography,Tom McCarthy,Mark Ruffalo,8.1
American Ultra,R,Action,Nima Nourizadeh,Jesse Eisenberg,6.1
The Man from U.N.C.L.E.,PG-13,Action,Guy Ritchie,Henry Cavill,7.3
Terminator Genisys,PG-13,Action,Alan Taylor,Arnold Schwarzenegger,6.3
Cinderella,PG,Drama,Kenneth Branagh,Lily James,6.9
Star Wars: Episode VII - The Force Awakens,PG-13,Action,J.J. Abrams,Daisy Ridley,7.8
The Lobster,R,Comedy,Yorgos Lanthimos,Colin Farrell,7.2
Spectre,PG-13,Action,Sam Mendes,Daniel Craig,6.8
High-Rise,R,Drama,Ben Wheatley,Tom Hiddleston,5.6
Chappie,R,Action,Neill Blomkamp,Sharlto Copley,6.8
Knock Knock,R,Drama,Eli Roth,Keanu Reeves,4.9
In the Heart of the Sea,PG-13,Action,Ron Howard,Chris Hemsworth,6.9
The Bronze,R,Comedy,Bryan Buckley,Melissa Rauch,6.1
The Intern,PG-13,Comedy,Nancy Meyers,Robert De Niro,7.1
The Hunger Games: Mockingjay - Part 2,PG-13,Action,Francis Lawrence,Jennifer Lawrence,6.6
Everest,PG-13,Action,Baltasar Kormákur,Jason Clarke,7.1
Blackhat,R,Action,Michael Mann,Chris Hemsworth,5.4
Spy,R,Action,Paul Feig,Melissa McCarthy,7.0
Mission: Impossible - Rogue Nation,PG-13,Action,Christopher McQuarrie,Tom Cruise,7.4
The Visit,PG-13,Horror,M. Night Shyamalan,Olivia DeJonge,6.2
Vacation,R,Adventure,John Francis Daley,Ed Helms,6.1
Creed,PG-13,Drama,Ryan Coogler,Michael B. Jordan,7.6
The Age of Adaline,PG-13,Drama,Lee Toland Krieger,Blake Lively,7.2
Black Mass,R,Biography,Scott Cooper,Johnny Depp,6.9
Focus,R,Comedy,Glenn Ficarra,Will Smith,6.6
Home,PG,Animation,Tim Johnson,Jim Parsons,6.6
Jupiter Ascending,PG-13,Action,Lana Wachowski,Channing Tatum,5.3
I Saw the Light,R,Biography,Marc Abraham,Tom Hiddleston,5.8
Minions,PG,Animation,Kyle Balda,Sandra Bullock,6.4
Pitch Perfect 2,PG-13,Comedy,Elizabeth Banks,Anna Kendrick,6.4
San Andreas,PG-13,Action,Brad Peyton,Dwayne Johnson,6.1
Trainwreck,R,Comedy,Judd Apatow,Amy Schumer,6.2
Tomorrowland,PG,Action,Brad Bird,George Clooney,6.4
Bridge of Spies,PG-13,Drama,Steven Spielberg,Tom Hanks,7.6
The Danish Girl,R,Biography,Tom Hooper,Eddie Redmayne,7.1
The Divergent Series: Insurgent,PG-13,Action,Robert Schwentke,Shailene Woodley,6.2
Straight Outta Compton,R,Biography,F. Gary Gray,O'Shea Jackson Jr.,7.8
Carol,R,Drama,Todd Haynes,Cate Blanchett,7.2
The Boy Next Door,R,Thriller,Rob Cohen,Jennifer Lopez,4.7
Southpaw,R,Action,Antoine Fuqua,Jake Gyllenhaal,7.4
The Dressmaker,R,Comedy,Jocelyn Moorhouse,Kate Winslet,7.1
Maze Runner: The Scorch Trials,PG-13,Action,Wes Ball,Dylan O'Brien,6.3
Lost and Love,,Drama,Sanyuan Peng,Andy Lau,6.4
The Last Witch Hunter,PG-13,Action,Breck Eisner,Vin Diesel,6.0
Green Room,R,Horror,Jeremy Saulnier,Anton Yelchin,7.0
Burnt,R,Comedy,John Wells,Bradley Cooper,6.6
The Good Dinosaur,PG,Animation,Peter Sohn,Jeffrey Wright,6.7
Far from the Madding Crowd,PG-13,Drama,Thomas Vinterberg,Carey Mulligan,7.1
The Invitation,Not Rated,Drama,Karyn Kusama,Logan Marshall-Green,6.6
Get Hard,R,Comedy,Etan Cohen,Will Ferrell,6.0
Hitman: Agent 47,R,Action,Aleksander Bach,Rupert Friend,5.7
Entourage,R,Comedy,Doug Ellin,Adrian Grenier,6.6
Steve Jobs,R,Biography,Danny Boyle,Michael Fassbender,7.2
Scouts Guide to the Zombie Apocalypse,R,Action,Christopher Landon,Tye Sheridan,6.3
Hardcore Henry,R,Action,Ilya Naishuller,Sharlto Copley,6.7
Joy,PG-13,Biography,David O. Russell,Jennifer Lawrence,6.6
Brooklyn,PG-13,Drama,John Crowley,Saoirse Ronan,7.5
Youth,R,Comedy,Paolo Sorrentino,Michael Caine,7.3
Ted 2,R,Comedy,Seth MacFarlane,Mark Wahlberg,6.3
Pan,PG,Adventure,Joe Wright,Levi Miller,5.7
Pixels,PG-13,Action,Chris Columbus,Adam Sandler,5.5
Demolition,R,Comedy,Jean-Marc Vallée,Jake Gyllenhaal,7.0
Macbeth,R,Drama,Justin Kurzel,Michael Fassbender,6.6
Daddy's Home,PG-13,Comedy,Sean Anders,Will Ferrell,6.2
Run All Night,R,Action,Jaume Collet-Serra,Liam Neeson,6.6
Mr. Right,R,Action,Paco Cabezas,Anna Kendrick,6.4
Magic Mike XXL,R,Comedy,Gregory Jacobs,Channing Tatum,5.6
Trumbo,R,Biography,Jay Roach,Bryan Cranston,7.5
Hotel Transylvania 2,PG,Animation,Genndy Tartakovsky,Adam Sandler,6.7
Knight of Cups,R,Drama,Terrence Malick,Christian Bale,5.7
The Stanford Prison Experiment,R,Biography,Kyle Patrick Alvarez,Ezra Miller,6.9
The Longest Ride,PG-13,Drama,George Tillman Jr.,Scott Eastwood,7.1
Victor Frankenstein,PG-13,Drama,Paul McGuigan,Daniel Radcliffe,6.0
Insidious: Chapter 3,PG-13,Horror,Leigh Whannell,Dermot Mulroney,6.1
Goosebumps,PG,Adventure,Rob Letterman,Jack Black,6.3
Aloha,PG-13,Comedy,Cameron Crowe,Bradley Cooper,5.4
Baahubali: The Beginning,Not Rated,Action,S.S. Rajamouli,Prabhas,8.0
A Bigger Splash,R,Drama,Luca Guadagnino,Tilda Swinton,6.4
The Wedding Ringer,R,Comedy,Jeremy Garelick,Kevin Hart,6.6
Sisters,R,Comedy,Jason Moore,Amy Poehler,6.0
Secret in Their Eyes,PG-13,Crime,Billy Ray,Chiwetel Ejiofor,6.3
Irrational Man,R,Comedy,Woody Allen,Joaquin Phoenix,6.6
Wild Card,R,Action,Simon West,Jason Statham,5.6
Paper Towns,PG-13,Adventure,Jake Schreier,Nat Wolff,6.2
The Lady in the Van,PG-13,Biography,Nicholas Hytner,Maggie Smith,6.7
The SpongeBob Movie: Sponge Out of Water,PG,Animation,Paul Tibbitt,Tom Kenny,6.0
Child 44,R,Crime,Daniel Espinosa,Tom Hardy,6.5
The Wave,R,Action,Roar Uthaug,Kristoffer Joner,6.7
A Man Called Ove,PG-13,Comedy,Hannes Holm,Rolf Lassgård,7.7
Beasts of No Nation,TV-MA,Drama,Cary Joji Fukunaga,Abraham Attah,7.7
Me and Earl and the Dying Girl,PG-13,Comedy,Alfonso Gomez-Rejon,Thomas Mann,7.7
Sleeping with Other People,R,Comedy,Leslye Headland,Jason Sudeikis,6.5
Concussion,PG-13,Biography,Peter Landesman,Will Smith,7.1
The Diary of a Teenage Girl,R,Comedy,Marielle Heller,Bel Powley,6.9
Mustang,PG-13,Drama,Deniz Gamze Ergüven,Günes Sensoy,7.6
The Walk,PG,Action,Robert Zemeckis,Joseph Gordon-Levitt,7.3
Tangerine,R,Comedy,Sean Baker,Kitana Kiki Rodriguez,7.1
A Walk in the Woods,R,Adventure,Ken Kwapis,Robert Redford,6.4
Sinister 2,R,Horror,Ciarán Foy,James Ransone,5.3
Summertime,Not Rated,Drama,Catherine Corsini,Cécile de France,6.7
Anomalisa,R,Animation,Duke Johnson,David Thewlis,7.3
The Blackcoat's Daughter,R,Horror,Oz Perkins,Emma Roberts,5.9
Mississippi Grind,R,Comedy,Anna Boden,Ben Mendelsohn,6.4
Drishyam,Not Rated,Crime,Nishikant Kamat,Ajay Devgn,8.2
Attack on Titan Part 1,Not Rated,Action,Shinji Higuchi,Haruma Miura,5.0
Woman in Gold,PG-13,Biography,Simon Curtis,Helen Mirren,7.3
Eddie the Eagle,PG-13,Biography,Dexter Fletcher,Taron Egerton,7.4
Eye in the Sky,R,Action,Gavin Hood,Helen Mirren,7.3
The Second Best Exotic Marigold Hotel,PG,Comedy,John Madden,Judi Dench,6.6
Tumbledown,R,Comedy,Sean Mewshaw,Rebecca Hall,6.2
The Meddler,PG-13,Comedy,Lorene Scafaria,Susan Sarandon,6.3
We Are Your Friends,R,Drama,Max Joseph,Zac Efron,6.2
Into the Forest,R,Drama,Patricia Rozema,Elliot Page,5.8
Grandma,R,Comedy,Paul Weitz,Lily Tomlin,6.7
Bajirao Mastani,Not Rated,Action,Sanjay Leela Bhansali,Ranveer Singh,7.3
By the Sea,R,Drama,Angelina Jolie,Brad Pitt,5.3
Mortdecai,R,Action,David Koepp,Johnny Depp,5.5
I'll See You in My Dreams,PG-13,Comedy,Brett Haley,Blythe Danner,6.7
Maggie,PG-13,Drama,Henry Hobson,Arnold Schwarzenegger,5.6
Project Almanac,PG-13,Drama,Dean Israelite,Amy Landecker,6.4
Regression,R,Crime,Alejandro Amenábar,Ethan Hawke,5.7
True Story,R,Biography,Rupert Goold,James Franco,6.3
The Man Who Knew Infinity,PG-13,Biography,Matt Brown,Dev Patel,7.2
The Transporter Refueled,PG-13,Action,Camille Delamarre,Ed Skrein,5.2
Z for Zachariah,PG-13,Drama,Craig Zobel,Chiwetel Ejiofor,6.0
Equals,PG-13,Drama,Drake Doremus,Nicholas Hoult,6.1
Dope,R,Adventure,Rick Famuyiwa,Shameik Moore,7.2
Land of Mine,R,Drama,Martin Zandvliet,Roland Møller,7.8
Krampus,PG-13,Comedy,Michael Dougherty,Adam Scott,6.2
Bajrangi Bhaijaan,Not Rated,Action,Kabir Khan,Salman Khan,8.0
The Lure,Not Rated,Drama,Agnieszka Smoczynska,Marta Mazurek,6.3
The Gunman,R,Action,Pierre Morel,Sean Penn,5.8
The Night Before,R,Comedy,Jonathan Levine,Joseph Gordon-Levitt,6.4
90 Minutes in Heaven,PG-13,Drama,Michael Polish,Kate Bosworth,4.8
Tale of Tales,R,Drama,Matteo Garrone,Salma Hayek,6.4
Ip Man 3,PG-13,Action,Wilson Yip,Donnie Yen,7.1
"McFarland, USA",PG,Biography,Niki Caro,Kevin Costner,7.4
Strange Magic,PG,Animation,Gary Rydstrom,Evan Rachel Wood,5.8
The Peanuts Movie,G,Animation,Steve Martino,Noah Schnapp,7.1
Rock the Kasbah,R,Comedy,Barry Levinson,Bill Murray,5.5
The Sea of Trees,PG-13,Drama,Gus Van Sant,Matthew McConaughey,6.1
Alvin and the Chipmunks: The Road Chip,PG,Animation,Walt Becker,Jason Lee,5.0
The Lazarus Effect,PG-13,Horror,David Gelb,Olivia Wilde,5.2
Love the Coopers,PG-13,Comedy,Jessie Nelson,Steve Martin,5.8
The 33,PG-13,Biography,Patricia Riggen,Antonio Banderas,6.9
The Little Prince,PG,Animation,Mark Osborne,Jeff Bridges,7.7
Louder Than Bombs,R,Drama,Joachim Trier,Jesse Eisenberg,6.6
The Gallows,R,Horror,Travis Cluff,Reese Mishler,4.3
The Ones Below,R,Drama,David Farr,Clémence Poésy,6.1
Southbound,R,Horror,Directors,Chad Villella,5.9
Men & Chicken,Not Rated,Comedy,Anders Thomas Jensen,David Dencik,6.7
Hyena Road,R,Action,Paul Gross,Rossif Sutherland,6.5
Slow West,R,Action,John Maclean,Kodi Smit-McPhee,6.9
The End of the Tour,R,Biography,James Ponsoldt,Jason Segel,7.3
Cop Car,R,Crime,Jon Watts,Kevin Bacon,6.3
The Daughter,,Drama,Simon Stone,Geoffrey Rush,6.6
Jem and the Holograms,PG,Adventure,Jon M. Chu,Aubrey Peeples,4.2
Captive,PG-13,Action,Jerry Jameson,Kate Mara,5.4
Our Brand Is Crisis,R,Comedy,David Gordon Green,Sandra Bullock,6.1
Unfinished Business,R,Comedy,Ken Scott,Vince Vaughn,5.4
Hot Tub Time Machine 2,R,Comedy,Steve Pink,Rob Corddry,5.1
Turbo Kid,Not Rated,Action,François Simard,Munro Chambers,6.7
The Overnight,R,Comedy,Patrick Brice,Adam Scott,6.1
"Hello, My Name Is Doris",R,Comedy,Michael Showalter,Sally Field,6.6
Ricki and the Flash,PG-13,Comedy,Jonathan Demme,Meryl Streep,5.9
Danny Collins,R,Biography,Dan Fogelman,Al Pacino,7.0
Son of Saul,R,Drama,László Nemes,Géza Röhrig,7.5
Mr. Holmes,PG,Drama,Bill Condon,Ian McKellen,6.9
Empire of Lust,,Action,Sang-hoon Ahn,Shin Ha-kyun,6.0
Paul Blart: Mall Cop 2,PG,Action,Andy Fickman,Kevin James,4.4
Remember,R,Drama,Atom Egoyan,Christopher Plummer,7.5
War Room,PG,Drama,Alex Kendrick,Priscilla C. Shirer,6.5
Dragon Blade,R,Action,Daniel Lee,Jackie Chan,6.0
45 Years,R,Drama,Andrew Haigh,Charlotte Rampling,7.1
Mother's Day,PG-13,Comedy,Garry Marshall,Jennifer Aniston,5.7
Suicide Squad,PG-13,Action,David Ayer,Will Smith,5.9
The Magnificent Seven,PG-13,Action,Antoine Fuqua,Denzel Washington,6.9
Captain America: Civil War,PG-13,Action,Anthony Russo,Chris Evans,7.8
Warcraft,PG-13,Action,Duncan Jones,Travis Fimmel,6.8
Deadpool,R,Action,Tim Miller,Ryan Reynolds,8.0
Doctor Strange,PG-13,Action,Scott Derrickson,Benedict Cumberbatch,7.5
Split,PG-13,Horror,M. Night Shyamalan,James McAvoy,7.3
Me Before You,PG-13,Drama,Thea Sharrock,Emilia Clarke,7.4
Don't Breathe,R,Crime,Fede Alvarez,Stephen Lang,7.1
Lady Macbeth,R,Drama,William Oldroyd,Florence Pugh,6.8
Moana,PG,Animation,Directors,Auli'i Cravalho,7.6
Arrival,PG-13,Drama,Denis Villeneuve,Amy Adams,7.9
X-Men: Apocalypse,PG-13,Action,Bryan Singer,James McAvoy,6.9
Captain Fantastic,R,Comedy,Matt Ross,Viggo Mortensen,7.9
Star Trek Beyond,PG-13,Action,Justin Lin,Chris Pine,7.0
La La Land,PG-13,Comedy,Damien Chazelle,Ryan Gosling,8.0
The Conjuring 2,R,Horror,James Wan,Vera Farmiga,7.3
Zootopia,PG,Animation,Byron Howard,Ginnifer Goodwin,8.0
The Huntsman: Winter's War,PG-13,Action,Cedric Nicolas-Troyan,Chris Hemsworth,6.1
Hacksaw Ridge,R,Biography,Mel Gibson,Andrew Garfield,8.1
13 Hours,R,Action,Michael Bay,John Krasinski,7.3
Nocturnal Animals,R,Drama,Tom Ford,Amy Adams,7.5
Rogue One: A Star Wars Story,PG-13,Action,Gareth Edwards,Felicity Jones,7.8
Batman v Superman: Dawn of Justice,PG-13,Action,Zack Snyder,Ben Affleck,6.4
Your Name.,TV-PG,Animation,Makoto Shinkai,Ryûnosuke Kamiki,8.4
Kung Fu Panda 3,PG,Animation,Alessandro Carloni,Jack Black,7.1
The Nice Guys,R,Action,Shane Black,Russell Crowe,7.4
Independence Day: Resurgence,PG-13,Action,Roland Emmerich,Liam Hemsworth,5.2
Raw,R,Drama,Julia Ducournau,Garance Marillier,7.0
Miss Peregrine's Home for Peculiar Children,PG-13,Adventure,Tim Burton,Eva Green,6.7
Fantastic Beasts and Where to Find Them,PG-13,Adventure,David Yates,Eddie Redmayne,7.3
Train to Busan,Not Rated,Action,Sang-ho Yeon,Gong Yoo,7.6
Resident Evil: The Final Chapter,R,Action,Paul W.S. Anderson,Milla Jovovich,5.5
Criminal,R,Action,Ariel Vromen,Kevin Costner,6.3
Underworld: Blood Wars,R,Action,Anna Foerster,Kate Beckinsale,5.8
The Shallows,PG-13,Action,Jaume Collet-Serra,Blake Lively,6.3
Hidden Figures,PG,Biography,Theodore Melfi,Taraji P. Henson,7.8
Sausage Party,R,Animation,Greg Tiernan,Seth Rogen,6.1
The Girl on the Train,R,Crime,Tate Taylor,Emily Blunt,6.5
Hell or High Water,R,Action,David Mackenzie,Chris Pine,7.6
The Purge: Election Year,R,Action,James DeMonaco,Frank Grillo,6.0
The Accountant,R,Action,Gavin O'Connor,Ben Affleck,7.3
The Neon Demon,R,Horror,Nicolas Winding Refn,Elle Fanning,6.2
Moonlight,R,Drama,Barry Jenkins,Mahershala Ali,7.4
Jason Bourne,PG-13,Action,Paul Greengrass,Matt Damon,6.6
Manchester by the Sea,R,Drama,Kenneth Lonergan,Casey Affleck,7.8
Central Intelligence,PG-13,Action,Rawson Marshall Thurber,Dwayne Johnson,6.3
War Dogs,R,Biography,Todd Phillips,Jonah Hill,7.1
The Legend of Tarzan,PG-13,Action,David Yates,Alexander Skarsgård,6.2
Silence,R,Drama,Martin Scorsese,Andrew Garfield,7.2
American Honey,R,Adventure,Andrea Arnold,Sasha Lane,7.0
Gods of Egypt,PG-13,Action,Alex Proyas,Brenton Thwaites,5.4
Hunt for the Wilderpeople,PG-13,Adventure,Taika Waititi,Sam Neill,7.9
The Founder,PG-13,Biography,John Lee Hancock,Michael Keaton,7.2
Inferno,PG-13,Action,Ron Howard,Tom Hanks,6.2
Now You See Me 2,PG-13,Action,Jon M. Chu,Jesse Eisenberg,6.5
Miss Sloane,R,Drama,John Madden,Jessica Chastain,7.5
10 Cloverfield Lane,PG-13,Action,Dan Trachtenberg,John Goodman,7.2
The Lost City of Z,PG-13,Biography,James Gray,Charlie Hunnam,6.6
Finding Dory,PG,Animation,Andrew Stanton,Ellen DeGeneres,7.3
Lion,PG-13,Biography,Garth Davis,Dev Patel,8.0
Lights Out,PG-13,Drama,David F. Sandberg,Teresa Palmer,6.3
Meet the Blacks,R,Comedy,Deon Taylor,Mike Epps,4.8
Allied,R,Action,Robert Zemeckis,Brad Pitt,7.1
Jack Reacher: Never Go Back,PG-13,Action,Edward Zwick,Tom Cruise,6.1
Bridget Jones's Baby,R,Comedy,Sharon Maguire,Renée Zellweger,6.5
How to Be Single,R,Comedy,Christian Ditter,Dakota Johnson,6.1
Snowden,R,Biography,Oliver Stone,Joseph Gordon-Levitt,7.3
Dangal,Not Rated,Action,Nitesh Tiwari,Aamir Khan,8.4
The Bad Batch,R,Action,Ana Lily Amirpour,Suki Waterhouse,5.3
Triple 9,R,Action,John Hillcoat,Casey Affleck,6.3
Deepwater Horizon,PG-13,Action,Peter Berg,Mark Wahlberg,7.1
The Choice,PG-13,Drama,Ross Katz,Benjamin Walker,6.6
Sully,PG-13,Biography,Clint Eastwood,Tom Hanks,7.4
Morgan,R,Action,Luke Scott,Kate Mara,5.8
Pride and Prejudice and Zombies,PG-13,Action,Burr Steers,Lily James,5.8
The Infiltrator,R,Biography,Brad Furman,Bryan Cranston,7.0
The Edge of Seventeen,R,Comedy,Kelly Fremon Craig,Hailee Steinfeld,7.3
A Cure for Wellness,R,Drama,Gore Verbinski,Dane DeHaan,6.4
London Has Fallen,R,Action,Babak Najafi,Gerard Butler,5.9
Dirty Grandpa,R,Comedy,Dan Mazer,Robert De Niro,5.9
"Hail, Caesar!",PG-13,Comedy,Ethan Coen,Josh Brolin,6.3
The 5th Wave,PG-13,Action,J Blakeson,Chloë Grace Moretz,5.2
Trolls,PG,Animation,Mike Mitchell,Anna Kendrick,6.5
Allegiant,PG-13,Action,Robert Schwentke,Shailene Woodley,5.7
Paterson,R,Comedy,Jim Jarmusch,Adam Driver,7.4
Swiss Army Man,R,Comedy,Dan Kwan,Paul Dano,7.0
The Great Wall,PG-13,Action,Yimou Zhang,Matt Damon,5.9
Mike and Dave Need Wedding Dates,R,Comedy,Jake Szymanski,Zac Efron,6.0
Bad Moms,R,Comedy,Jon Lucas,Mila Kunis,6.2
Collateral Beauty,PG-13,Drama,David Frankel,Will Smith,6.8
The Boy,PG-13,Horror,William Brent Bell,Lauren Cohan,6.0
Fences,PG-13,Drama,Denzel Washington,Denzel Washington,7.2
Alice Through the Looking Glass,PG,Adventure,James Bobin,Mia Wasikowska,6.2
The Brothers Grimsby,R,Action,Louis Leterrier,Sacha Baron Cohen,6.2
Ice Age: Collision Course,PG,Animation,Mike Thurmeier,Ray Romano,5.7
Patriots Day,R,Action,Peter Berg,Mark Wahlberg,7.4
Keeping Up with the Joneses,PG-13,Action,Greg Mottola,Zach Galifianakis,5.9
Genius,PG-13,Biography,Michael Grandage,Colin Firth,6.6
The Secret Life of Pets,PG,Animation,Chris Renaud,Louis C.K.,6.5
Popstar: Never Stop Never Stopping,R,Comedy,Akiva Schaffer,Andy Samberg,6.7
Goldstone,R,Crime,Ivan Sen,Aaron Pedersen,6.5
20th Century Women,R,Comedy,Mike Mills,Annette Bening,7.3
Assassin's Creed,PG-13,Action,Justin Kurzel,Michael Fassbender,5.7
Teenage Mutant Ninja Turtles: Out of the Shadows,PG-13,Action,Dave Green,Megan Fox,6.0
White Girl,Not Rated,Crime,Elizabeth Wood,Morgan Saylor,5.7
Everybody Wants Some!!,R,Comedy,Richard Linklater,Blake Jenner,6.9
The Take,R,Action,James Watkins,Idris Elba,6.3
The Finest Hours,PG-13,Action,Craig Gillespie,Chris Pine,6.8
Greater,PG,Biography,David L. Hunt,Neal McDonough,7.3
The Love Witch,Unrated,Comedy,Anna Biller,Samantha Robinson,6.2
The Belko Experiment,R,Horror,Greg McLean,John Gallagher Jr.,6.1
The BFG,PG,Adventure,Steven Spielberg,Mark Rylance,6.4
Zoolander 2,PG-13,Action,Ben Stiller,Ben Stiller,4.7
Midnight Special,PG-13,Drama,Jeff Nichols,Michael Shannon,6.6
The Angry Birds Movie,PG,Animation,Clay Kaytis,Jason Sudeikis,6.3
Live by Night,R,Action,Ben Affleck,Ben Affleck,6.4
Nerve,PG-13,Action,Henry Joost,Emma Roberts,6.5
Mechanic: Resurrection,R,Action,Dennis Gansel,Jason Statham,5.7
Sing Street,PG-13,Comedy,John Carney,Ferdia Walsh-Peelo,7.9
The Light Between Oceans,PG-13,Drama,Derek Cianfrance,Michael Fassbender,7.2
Shin Godzilla,Not Rated,Action,Hideaki Anno,Hiroki Hasegawa,6.8
Why Him?,R,Comedy,John Hamburg,Zoey Deutch,6.2
Miracles from Heaven,PG,Biography,Patricia Riggen,Jennifer Garner,7.1
Colossal,R,Comedy,Nacho Vigalondo,Anne Hathaway,6.2
Free Fire,R,Action,Ben Wheatley,Sharlto Copley,6.4
The Void,Not Rated,Horror,Jeremy Gillespie,Aaron Poole,5.9
The Exception,R,Drama,David Leveaux,Lily James,6.8
Neighbors 2: Sorority Rising,R,Comedy,Nicholas Stoller,Seth Rogen,5.7
Ben-Hur,PG-13,Action,Timur Bekmambetov,Jack Huston,5.7
Free State of Jones,R,Action,Gary Ross,Matthew McConaughey,6.9
Jackie,R,Biography,Pablo Larraín,Natalie Portman,6.7
Gold,R,Crime,Stephen Gaghan,Matthew McConaughey,6.7
Pete's Dragon,PG,Action,David Lowery,Bryce Dallas Howard,6.7
31,,Horror,Rob Zombie,Malcolm McDowell,5.1
Keanu,R,Action,Peter Atencio,Keegan-Michael Key,6.3
Goat,R,Drama,Andrew Neel,Ben Schnetzer,5.7
Storks,PG,Animation,Nicholas Stoller,Andy Samberg,6.8
A Monster Calls,PG-13,Adventure,J.A. Bayona,Lewis MacDougall,7.5
Anthropoid,R,Action,Sean Ellis,Jamie Dornan,7.2
Kubo and the Two Strings,PG,Animation,Travis Knight,Charlize Theron,7.8
Café Society,PG-13,Comedy,Woody Allen,Jesse Eisenberg,6.6
Blair Witch,R,Horror,Adam Wingard,James Allen McCune,5.0
The Salesman,PG-13,Drama,Asghar Farhadi,Shahab Hosseini,7.8
In a Valley of Violence,R,Action,Ti West,Ethan Hawke,6.0
Ratchet & Clank,PG,Animation,Kevin Munroe,James Arnold Taylor,5.6
Risen,PG-13,Action,Kevin Reynolds,Joseph Fiennes,6.3
Rules Don't Apply,PG-13,Comedy,Warren Beatty,Lily Collins,5.7
Office Christmas Party,R,Comedy,Josh Gordon,Jason Bateman,5.9
